station,date,year,month,day,variable,avg_value
2,2024-02-13,2024,2,13,RAIN,0.0002173913043478261
2,2024-02-13,2024,2,13,RH,72.94073173913043
2,2024-02-13,2024,2,13,So2,2.1273336521739132
2,2024-02-13,2024,2,13,WDD,215.21008217391307
2,2024-02-13,2024,2,13,WDS,3.4906884347826086
2,2024-02-14,2024,2,14,O3,6.470220130434783
2,2024-02-14,2024,2,14,PM10,42.258492608695654
2,2024-02-14,2024,2,14,PM2,14.229562869565218
2,2024-02-14,2024,2,14,RAIN,0.002240304347826087
2,2024-02-14,2024,2,14,RH,60.01208347826087
2,2024-02-14,2024,2,14,So2,3.52330947826087
2,2024-02-14,2024,2,14,WDD,101.9202343478261
2,2024-02-14,2024,2,14,WDS,3.1106522173913045
2,2024-02-15,2024,2,15,O3,3.872612608695652
2,2024-02-15,2024,2,15,PM10,36.82868347826087
2,2024-02-15,2024,2,15,PM2,18.30342843478261
2,2024-02-15,2024,2,15,RAIN,0.0007970869565217391
2,2024-02-15,2024,2,15,RH,62.18535565217391
2,2024-02-15,2024,2,15,So2,2.6765182173913042
2,2024-02-15,2024,2,15,WDD,108.58091826086957
2,2024-02-15,2024,2,15,WDS,3.5041365217391305
2,2024-02-16,2024,2,16,O3,3.9872334347826084
2,2024-02-16,2024,2,16,PM10,37.3118647826087
2,2024-02-16,2024,2,16,PM2,19.021171608695653
2,2024-02-16,2024,2,16,RAIN,0.0005072608695652174
2,2024-02-16,2024,2,16,RH,65.39268217391304
2,2024-02-16,2024,2,16,So2,2.443278043478261
2,2024-02-16,2024,2,16,WDD,173.32783
2,2024-02-16,2024,2,16,WDS,3.0397102173913044
2,2024-02-17,2024,2,17,O3,3.7692190434782606
2,2024-02-17,2024,2,17,PM10,28.711275217391304
2,2024-02-17,2024,2,17,PM2,14.471859913043478
2,2024-02-17,2024,2,17,RAIN,0.0
2,2024-02-17,2024,2,17,RH,62.992996086956516
2,2024-02-17,2024,2,17,So2,4.10815780952381
2,2024-02-17,2024,2,17,WDD,107.38774304347827
2,2024-02-17,2024,2,17,WDS,3.1325300869565216
2,2024-02-18,2024,2,18,O3,6.881309869565217
2,2024-02-18,2024,2,18,PM10,32.25998043478261
2,2024-02-18,2024,2,18,PM2,25.112364782608694
2,2024-02-18,2024,2,18,RAIN,0.0
2,2024-02-18,2024,2,18,RH,71.58187086956522
2,2024-02-18,2024,2,18,So2,3.310333652173913
2,2024-02-18,2024,2,18,WDD,218.61300173913042
2,2024-02-18,2024,2,18,WDS,2.841781391304348
2,2024-02-19,2024,2,19,O3,7.472609521739131
2,2024-02-19,2024,2,19,PM10,37.97815608695652
2,2024-02-19,2024,2,19,PM2,23.372928260869568
2,2024-02-19,2024,2,19,RAIN,0.03670291304347826
2,2024-02-19,2024,2,19,RH,69.37489130434783
2,2024-02-19,2024,2,19,So2,3.2582606190476193
2,2024-02-19,2024,2,19,WDD,247.80826521739132
2,2024-02-19,2024,2,19,WDS,3.1785992173913042
2,2024-02-20,2024,2,20,O3,7.016508086956521
2,2024-02-20,2024,2,20,PM10,36.43368043478261
2,2024-02-20,2024,2,20,PM2,21.82104652173913
2,2024-02-20,2024,2,20,RAIN,0.004818826086956522
2,2024-02-20,2024,2,20,RH,69.2301395652174
2,2024-02-20,2024,2,20,So2,3.4956275263157894
2,2024-02-20,2024,2,20,WDD,230.7580352173913
2,2024-02-20,2024,2,20,WDS,3.6517510869565215
2,2024-02-21,2024,2,21,O3,8.748471782608696
2,2024-02-21,2024,2,21,PM10,39.37002956521739
2,2024-02-21,2024,2,21,PM2,23.946030869565217
2,2024-02-21,2024,2,21,RAIN,0.0
2,2024-02-21,2024,2,21,RH,63.76355695652173
2,2024-02-21,2024,2,21,So2,2.326072652173913
2,2024-02-21,2024,2,21,WDD,218.9726391304348
2,2024-02-21,2024,2,21,WDS,2.9177355217391305
2,2024-02-22,2024,2,22,O3,8.564253695652173
2,2024-02-22,2024,2,22,PM10,26.02133652173913
2,2024-02-22,2024,2,22,PM2,15.911600173913044
2,2024-02-22,2024,2,22,RAIN,0.0015217391304347828
2,2024-02-22,2024,2,22,RH,68.29503565217392
2,2024-02-22,2024,2,22,So2,2.5534172173913046
2,2024-02-22,2024,2,22,WDD,216.12288260869565
2,2024-02-22,2024,2,22,WDS,3.6163767826086954
2,2024-02-23,2024,2,23,O3,8.451997739130436
2,2024-02-23,2024,2,23,PM10,31.735538260869564
2,2024-02-23,2024,2,23,PM2,19.30837939130435
2,2024-02-23,2024,2,23,RAIN,0.0
2,2024-02-23,2024,2,23,RH,72.13971086956522
2,2024-02-23,2024,2,23,So2,2.6790537647058823
2,2024-02-23,2024,2,23,WDD,224.2931130434783
2,2024-02-23,2024,2,23,WDS,3.7238647826086955
2,2024-02-24,2024,2,24,O3,9.123412869565216
2,2024-02-24,2024,2,24,PM10,33.04946826086957
2,2024-02-24,2024,2,24,PM2,22.23306782608696
2,2024-02-24,2024,2,24,RAIN,0.000579695652173913
2,2024-02-24,2024,2,24,RH,72.11472086956522
2,2024-02-24,2024,2,24,So2,2.2315591304347824
2,2024-02-24,2024,2,24,WDD,254.43823478260867
2,2024-02-24,2024,2,24,WDS,3.8746557826086954
2,2024-02-25,2024,2,25,O3,9.26298547826087
2,2024-02-25,2024,2,25,PM10,25.07023434782609
2,2024-02-25,2024,2,25,PM2,19.20961991304348
2,2024-02-25,2024,2,25,RAIN,0.0006521739130434782
2,2024-02-25,2024,2,25,RH,70.05939608695653
2,2024-02-25,2024,2,25,So2,2.823540391304348
2,2024-02-25,2024,2,25,WDD,242.5043413043478
2,2024-02-25,2024,2,25,WDS,3.309831173913043
2,2024-02-26,2024,2,26,O3,9.537301652173912
2,2024-02-26,2024,2,26,PM10,44.29543130434782
2,2024-02-26,2024,2,26,PM2,34.45270347826087
2,2024-02-26,2024,2,26,RAIN,0.0
2,2024-02-26,2024,2,26,RH,69.5290095652174
2,2024-02-26,2024,2,26,So2,3.3042661304347827
2,2024-02-26,2024,2,26,WDD,235.8131565217391
2,2024-02-26,2024,2,26,WDS,3.0588224782608697
2,2024-02-27,2024,2,27,O3,5.462566347826087
2,2024-02-27,2024,2,27,PM10,46.97720913043478
2,2024-02-27,2024,2,27,PM2,38.94215652173913
2,2024-02-27,2024,2,27,RAIN,0.0
2,2024-02-27,2024,2,27,RH,73.14074260869566
2,2024-02-27,2024,2,27,So2,2.631856
2,2024-02-27,2024,2,27,WDD,232.6501852173913
2,2024-02-27,2024,2,27,WDS,3.757747652173913
2,2024-02-28,2024,2,28,O3,3.2324592608695655
2,2024-02-28,2024,2,28,PM10,42.05652956521739
2,2024-02-28,2024,2,28,PM2,37.42961260869565
2,2024-02-28,2024,2,28,RAIN,0.10621704347826089
2,2024-02-28,2024,2,28,RH,74.02478652173913
2,2024-02-28,2024,2,28,So2,2.0668438260869566
2,2024-02-28,2024,2,28,WDD,176.84511217391307
2,2024-02-28,2024,2,28,WDS,3.5277959130434784
2,2024-02-29,2024,2,29,O3,3.2928426521739134
2,2024-02-29,2024,2,29,PM10,46.22492565217391
2,2024-02-29,2024,2,29,PM2,40.45106478260869
2,2024-02-29,2024,2,29,RAIN,0.00044686956521739136
2,2024-02-29,2024,2,29,RH,75.33577217391304
2,2024-02-29,2024,2,29,So2,2.343156
2,2024-02-29,2024,2,29,WDD,219.7811147826087
2,2024-02-29,2024,2,29,WDS,3.2818478260869566
2,2024-03-01,2024,3,1,O3,3.7575121304347827
2,2024-03-01,2024,3,1,PM10,46.307779565217395
2,2024-03-01,2024,3,1,PM2,30.723241347826086
2,2024-03-01,2024,3,1,RAIN,0.0001992608695652174
2,2024-03-01,2024,3,1,RH,68.98592434782609
2,2024-03-01,2024,3,1,So2,2.3660194347826087
2,2024-03-01,2024,3,1,WDD,190.38399956521738
2,2024-03-01,2024,3,1,WDS,3.5094323913043475
2,2024-03-02,2024,3,2,O3,3.5639501739130437
2,2024-03-02,2024,3,2,PM10,49.42985869565218
2,2024-03-02,2024,3,2,PM2,38.82926739130435
2,2024-03-02,2024,3,2,RAIN,0.00046495652173913045
2,2024-03-02,2024,3,2,RH,71.13690869565218
2,2024-03-02,2024,3,2,So2,1.6897481739130433
2,2024-03-02,2024,3,2,WDD,213.84873739130435
2,2024-03-02,2024,3,2,WDS,3.5103441739130434
2,2024-03-03,2024,3,3,O3,3.9977702608695656
2,2024-03-03,2024,3,3,PM10,28.025421739130433
2,2024-03-03,2024,3,3,PM2,26.431849652173913
2,2024-03-03,2024,3,3,RAIN,0.025942043478260866
2,2024-03-03,2024,3,3,RH,73.9986652173913
2,2024-03-03,2024,3,3,So2,1.2386751739130435
2,2024-03-03,2024,3,3,WDD,174.83164173913042
