station,year,month,hour,variable,avg_value
20,2024,4,15,WDD,204.88858
20,2024,4,15,WDS,2.4599723
20,2024,4,16,PM10,19.7481731
20,2024,4,16,PM2,10.8961881
20,2024,4,16,RAIN,0.0806398
20,2024,4,16,RH,67.301943
20,2024,4,16,So2,20.1665845
20,2024,4,16,WDD,191.97634
20,2024,4,16,WDS,2.4192777
20,2024,4,17,PM10,18.242877
20,2024,4,17,PM2,11.491797199999999
20,2024,4,17,RAIN,0.0327778
20,2024,4,17,RH,67.03441699999999
20,2024,4,17,So2,20.015355
20,2024,4,17,WDD,179.89763
20,2024,4,17,WDS,1.7730556
20,2024,4,18,PM10,17.8540338
20,2024,4,18,PM2,10.1560872
20,2024,4,18,RAIN,0.15544449999999999
20,2024,4,18,RH,72.128332
20,2024,4,18,So2,22.2647814
20,2024,4,18,WDD,128.218911
20,2024,4,18,WDS,1.5022221999999998
20,2024,4,19,PM10,27.438862699999998
20,2024,4,19,PM2,10.2087819
20,2024,4,19,RAIN,0.6085278
20,2024,4,19,RH,77.255084
20,2024,4,19,So2,25.828542600000002
20,2024,4,19,WDD,109.615787
20,2024,4,19,WDS,1.2191112
20,2024,4,20,PM10,30.077396299999997
20,2024,4,20,PM2,14.567609899999999
20,2024,4,20,RAIN,0.6200555999999999
20,2024,4,20,RH,79.76119600000001
20,2024,4,20,So2,28.2638979
20,2024,4,20,WDD,103.2660761
20,2024,4,20,WDS,1.0133887
20,2024,4,21,PM10,31.619054000000002
20,2024,4,21,PM2,13.75073725
20,2024,4,21,RAIN,0.22096941666666667
20,2024,4,21,RH,81.80418999999999
20,2024,4,21,So2,27.67488575
20,2024,4,21,WDD,120.04221224999999
20,2024,4,21,WDS,1.09228
20,2024,4,22,PM10,34.4755925
20,2024,4,22,PM2,18.904525916666667
20,2024,4,22,RAIN,0.16503
20,2024,4,22,RH,82.94929416666666
20,2024,4,22,So2,27.38456375
20,2024,4,22,WDD,99.81680891666667
20,2024,4,22,WDS,0.9476620833333333
20,2024,5,0,PM10,15.632674428571429
20,2024,5,0,PM2,6.562497142857143
20,2024,5,0,RAIN,0.0
20,2024,5,0,RH,85.18559571428571
20,2024,5,0,So2,20.196304285714287
20,2024,5,0,WDD,149.09922714285716
20,2024,5,0,WDS,0.812024
20,2024,5,1,PM10,12.937719000000001
20,2024,5,1,PM2,6.878514
20,2024,5,1,RAIN,0.0
20,2024,5,1,RH,84.66683
20,2024,5,1,So2,19.556852833333334
