IDExpediente,Estado,Regional,Departamento,Municipio,Vereda,Class,TipoCombustible,TipoFuenteEmision,Cuenca,latitude,longitude,estacion_cercana_1,distancia_cercana_1,estacion_cercana_2,distancia_cercana_2,es_cercana
156070.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,MOSQUERA,Balsillas,,Otros,Caldera,Río Bogotá,4.67388255865053,-74.26556225033188,6,6.05,19,6.18,False
161770.0,Seguimiento y Control,Ubate,Cundinamarca,TAUSA,Rasgatá,,Coque,Horno,Río Suárez,5.184166157402317,-73.88134560550077,20,1.77,1,6.34,True
164064.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Neusa,,Carbón,Horno,Río Bogotá,5.072758477228417,-73.96027087464054,12,2.71,10,8.41,True
164066.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Neusa,,Carbón,Horno,Río Bogotá,5.072757472919745,-73.95485994243853,12,3.15,9,8.53,True
164672.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Neusa,,Carbón,Horno,Río Bogotá,5.074149403244205,-73.9512974754703,12,3.56,9,8.16,True
166012.0,Seguimiento y Control,Sabana Centro,Cundinamarca,CAJICA,Chuntame Alto,,Otros,TRITURADOR DE MATERIAL,Río Bogotá,4.906383841408903,-74.01451335072929,13,3.67,18,6.15,True
166542.0,Seguimiento y Control,Soacha,Cundinamarca,SIBATE,La Unión,,Fuel Oil No.8,Horno,(sin definir),4.538263053051745,-74.25716163202722,5,2.1,3,6.6,True
167378.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.517287002502915,-74.14492788758095,8,1.47,4,10.37,True
167380.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.534975795179951,-74.13999140271514,8,0.58,4,9.12,True
167394.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.535310391458448,-74.13998242029001,8,0.62,4,9.09,True
167396.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.503459767494724,-74.14802632128853,8,3.04,5,10.86,True
167796.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.531032911512373,-74.14093723192799,8,0.17,4,9.39,True
168788.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.526221823595039,-74.14258583733415,8,0.45,4,9.69,True
169532.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.517658008181525,-74.14232375543543,8,1.4,4,10.49,True
169720.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.534406065242357,-74.14014454355686,8,0.52,4,9.16,True
169726.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.52597679631161,-74.15156082977826,8,1.14,4,9.16,True
169728.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.519628633139708,-74.15048787853901,8,1.49,4,9.83,True
169730.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.515343216106536,-74.13948510753538,8,1.68,4,10.88,True
169746.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.526681284128709,-74.15967086038007,8,1.97,4,8.65,True
170762.0,Seguimiento y Control,Sabana Centro,Cundinamarca,TOCANCIPA,Verganzo,,Carbón,Caldera,(sin definir),4.867851196773046,-73.93637620318275,18,8.91,13,11.44,False
170950.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.523607901815922,-74.14750562613166,8,0.94,4,9.62,True
171144.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,ACPM,Horno,Río Bogotá,4.526293750993234,-74.14707335308687,8,0.69,4,9.4,True
171168.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.514311647899588,-74.1466937521958,8,1.84,4,10.55,True
171196.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,(sin definir),(sin definir),Río Bogotá,4.506914034508921,-74.15013518661247,8,2.74,5,10.55,True
171200.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.530824762533079,-74.14270339321416,8,0.09,4,9.28,True
171204.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,(sin definir),(sin definir),Río Bogotá,4.516029605486364,-74.14912686751758,8,1.75,4,10.25,True
171210.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.51665431313687,-74.14128740772773,8,1.51,4,10.65,True
171210.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.516283560010455,-74.14111616748636,8,1.55,4,10.69,True
171218.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.51597608343633,-74.14123328287343,8,1.59,4,10.71,True
171372.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO ALTO,,Carbón,Horno,Río Bogotá,4.530960797220908,-74.13825191141156,8,0.45,4,9.58,True
